First Line Health,330 S. Garfield Ave,Suite 228,Alhambra,CA,91801,(310) 954-9938,
Rudolph Multi Specialty Group,10399 Lemon Avenue,Suite 105 Alta Loma,Los Angeles,CA,91737,(909) 483-3530,(909) 380-7752
First Line Health,212 S. Grand Avenue,Santa Ana,Orange,CA,92701,(310) 954-9938,
So Cal Chiros,2390 E. Orangewood Avenue,Suite 400 Anaheim,Anaheim,CA,92806,(714) 808-9666,(714) 808-1666
So Cal Chiros,11525 Brookshire Avenue,Suite 202,Downey,CA,90241,(714) 808-9666,(714) 808-1666
Greenfield Integrated,11920 Ramona,,El Monte,CA,91732,(626) 448-5501,(626) 448-5502
MedNation,2920 F Street,Suite C-5,Bakersfield,CA,93301,(818) 697-6190,(888) 391-7488
First Line Health,"2920 ""F"" Street",Suite 15,Bakersfield,CA,93301,(310) 954-9938,
Advance Care,4025 Maine St.,,Baldwin Park,CA,91706,(800) 850-2693,(866) 273-1775
Rise Wellness Center,5030 Bonita Rd.,Suite B Bonita,Los Angeles,CA,91902,(619) 479-7473,(619) 479-9376
Crosby Square Chiro,420 Heffernan Ave,Suite B-1,Calexico,CA,92231,(619) 238-0096,(619) 232-7046
First Line Health,420 Heffernan Ave,Suite B-1,Calexico,CA,92231,(310) 954-9938,
Southland Spine,1520 Nutmeg Place,Suite 110,Costa Mesa,CA,92626,(714) 751-8110,(714) 751-5098
Dr. Jalil Rashti,16661 Ventura Blvd,Suite 701 Encino,Los Angeles,CA,91436,(818) 386-1823,(818) 907-0255
Crosby Square Chiro,240 S. Hickory St.,Suite 106,Escondido,CA,92025,(619) 238-0096,(619) 232-7046
First Line Health,240 S. Hickory,Suite 106,Escondido,CA,92025,(310) 954-9938,
MedNation,5339 North Fresno,Suite 105,Fresno,CA,93710,(818) 697-6190,(888) 391-7488
Lighthouse Medical Mgt,8832 Sierra Ave. Fontana,,Fontana,CA,92335,(909) 854-4900,(909) 854-4224
Glendale Urgency Chiropractic Clinic,319 South Brand Blvd.,,Glendale,CA,91204,(818) 901-0388,(818) 507-0126
Rudolph Multi Specialty Group.,10918 Hesperia Road,Suite B,Hesperia,CA,92345,(909) 483-3530,(909) 380-7752
Lighthouse Medical Mgt,6011 Pacific Blvd.,Suite 123,Huntington Park,CA,90255,(909) 854-4224,(909) 565-4406
First Line Health,6522 Pacific Blvd.,,Huntington Park,CA,90255,(310) 954-9938,
Rudolph Multi Specialty Group,81557 Doctor Carreon Blvd,Suite B5 Indio,Indio,CA,92201,(909) 483-3530,(909) 380-7752
First Line Health,44075 Jackson Street,Suite C,Indio,CA,92201,(310) 954-9938,
Advance Care,2690 Pacific Avenue,#255,Long Beach,CA,90806,(800) 850-2693,(866) 273-1775
Willow Medical Group,3311 E. Willow St.,,Long Beach,CA,90806,(562) 424-4976,(562) 424-5960
First Line Health,4300 Long Beach Blvd,Suite 170,Long Beach,CA,90807,(310) 954-9938,
MedNation,4201 Long Beach Blvd.,Suite 430,Long Beach,CA,90807,(818) 697-6190,(888) 391-7488
MedNation,3580 Wilshire Blvd.,Suite 100,Los Angeles,CA,90010,(818) 697-6190,(888) 391-7488
Atlantis Health Management,3800 E. Cesar Chavez E. Ave,,Los Angeles,CA,90063,(323) 264-6296,(323) 395-5782
Dr. Jalil Rashti,3800 East Cesar Chavez Ave,,Los Angeles,CA,90063,(818) 386-1823,(818) 907-0255
SCOP,8610 South Sepulveda Blvd.,Suite 109,Los Angeles,CA,90045,(310) 337-3700,(310) 337-1643
First Line Health,3303 Wilshire Blvd,Suite 1225,Los Angeles,CA,90010,(310) 954-9938,
Harout Balian,MD 4950 San Bernardino Street,Suite 102,Montclair,CA,91763,(909) 624-5277,
Gogatz Chiropractic Ctr,40485 Murrieta Hot Springs Rd,Ste. B7 Murrieta,Murrieta,CA,92563,(951) 698-4050,(951) 698-4057
Rudolph Multi Specialty Group,5900 Shattuck Avenue,Suite 201,Oakland,CA,94601,(909) 483-3530,(909) 380-7752
Rise Wellness Center,3231 Waring Court,Suite N,Oceanside,CA,92056,(619) 794-2099,(619) 362-9616
Cedar Medical Group,235 N. Laurel Ave.,,Ontario,CA,91762,(909) 988-2554,(909) 988-2584
First Line Health,3602 Inland Empire Blvd,Suite 120 Building B,Ontario,CA,91764,(310) 954-9938,
MedNation,1555 West 5th Street,Suite 270,Oxnard,CA,93003,(818) 697-6190,(888) 391-7488
C.O.R. Medical Grp,1405 W. Rancho Vista Blvd.,,Palmdale,CA,93551,(661) 274-8725,(661) 274-8205
First Line Health,1645 E. Palmdale Blvd.,Suite D,Palmdale,CA,93550,(310) 954-9938,
Advance Care,14624 Sherman Way,Suite 404 Van Nuys,Los Angeles,CA,91405,(800) 850-2693,(866) 273-1775
Gutierrez Chiropractic,8445 S. Rosemead Blvd.,,Pico Rivera,CA,90660,(562) 861-1600,(562) 861-1717
Rudolph Multi Specialty Group,8337 Telegraph Road,Suite 214,Pico Rivera,CA,90660,(909) 483-3530,(909) 380-7752
First Line Health,10832 Laurel St.,Suite 206,Rancho Cucamonga,CA,91730,(310) 954-9938,
MedNation,7012 Reseda Blvd,Suite A2 Reseda,Los Angeles,CA,91335,(818) 697-6190,(888) 391-7488
Spine & Orthopedic Center,7300 Magnolia Avenue,,Riverside,CA,92504,(951) 710-1030,(951) 710-1040
Advance Care,4121 10th Street,,Riverside,CA,92501,(800) 850-2693,(866) 273-1775
Rudolph Multi Specialty Group,5870 Arlington Ave.,Suite 101,Riverside,CA,92504,(909) 483-3530,(909) 380-7752
Keystone Health Grp,4843 Arlington Ave.,,Riverside,CA,92504,(951) 682-4404,(951) 682-4406
Montgomery Chiropractic,3404 Arlington Ave,,Riverside,CA,92506,(951) 782-8369,(951) 782-8378
Southland Spine,4354 Latham Street,Suite 100,Riverside,CA,92501,(714) 751-8110,(714) 751-5098
SCOP,4240 Tequesquite Avenue,,Riverside,CA,92601,(310) 337-3700,(310) 337-1643
First Line Health,1881 S. Commerce Center Dr. E.,Suite 112,San Bernardino,CA,92408,(310) 954-9938,
First Line Health,165 W. Hospitality Lane,Suite 20,San Bernardino,CA,92408,(310) 954-9938,
Montgomery Chiropractic,155 W. Hospitality Lane,Suite 175,San Bernardino,CA,92408,(909) 890-2226,(909) 890-9638
Rudolph Multi Specialty Group,435 W. Orange Show Lane,Suite 104,San Bernardino,CA,92408,(909) 483-3530,(909) 380-7752
Spine & Orthopedic Center,236 W. Orange Show Rd,Suite 114,San Bernardino,CA,92408,(951) 710-1030,(951) 710-1040
Lighthouse Medical Mgt,3645 El Cajon Blvd.,,San Diego,CA,92104,(909) 854-4224,(909) 565-4406
Advance Care,7581 Mission Center Ct,Suite 205,San Diego,CA,92108,(800) 850-2693,(866) 273-1775
Rise Wellness Center,2710 Adams Ave,,San Diego,CA,92116,(619) 794-2099,(619) 362-9616
Crosby Square Chiro,1885 National Ave.,,San Diego,CA,92113,(619) 238-0096,(619) 232-7046
First Line Health,1885 National Avenue,,San Diego,CA,92113,(310) 954-9938,
Rudolph Multi Specialty Group,2360 Mckee Road,Suite 9,San Jose,CA,95116,(909) 483-3530,(909) 380-7752
Advance Care,1125 East 17th Street,N-560 Santa Ana,Orange,CA,92701,(800) 850-2693,(866) 273-1775
Tri-Star Medical Group,999 N. Tustin Avenue,Suite 201 Santa Ana,Orange,CA,92705,(714) 975-7950,(714) 975-7951
First Line Health,12660 Riverside Dr,Unit 201 Studio City,Los Angeles,CA,91607,(310) 954-9938,
Gutierrez Chiropractic,1304 Santa Anita Avenue,Unit A,South El Monte,CA,91733,(626) 452-0202,(626) 452-0200
SCOP,14600 Sherman Way,Suite 100-A Van Nuys,Los Angeles,CA,91405,(310) 337-3700,(310) 337-1643
Montgomery Chiropractic,14707 7th Street,Suite 100,Victorville,CA,92395,(760) 881-3600,(760) 881-3601
Spine & Orthopedic Center,14298 St Andrews Drive,Suite 11,Victorville,CA,92395,(951) 710-1030,(951) 710-1040
MedNation,202 W. Willow Street,Suite 302 Visalia,Visalia,CA,93291,(818) 697-6190,(888) 383-7488
Taft Chiropractic,14850 Roscoe Blvd.,Panorama City,Los Angeles,CA,91402,(818) 340-0089,(818) 340-6985
Harout Balian MD,333 N. Hill Ave Suite 101,,Pasadena,CA,91106,(626) 449-9911,(626) 449-9921
Cedar Medical Group,3165 N. Garey Ave,,Pomona,CA,91767,(909) 392-2230,
Cedar Medical Group,17096 E. Foothill Blvd,,Fontana,CA,92335,(909) 428-6989,(909) 428-6939
Industrial Treatment & Rehabilitation Center,155 Hospitality Lane,Suite 245,San Bernardino,CA,92408,(909) 890-9703,
First Line Health,1011 E. Devonshire Avenue,Suite 200,Hemet,CA,92543,(310) 954-9938,
Industrial Healthcare Physicians Medical Group Inc.,2010 Wilshire Blvd,Suite 926,Los Angeles,CA,90057,(213) 353-4921,(213) 402-7659
Cedar Medical Group,12730 Heacock Street,Suite 8,Moreno Valley,CA,92553,(951) 247-4976,
Cedar Medical Group,15664 Main Street,Ste 100,Hesperia,CA,92345,(760) 244-1740,(760) 244-1741
Dr. Nikta Andalib DC,1224 E. Ave S,Ste B,Palmdale,CA,93550,(661) 266-1611,(661) 266-1295
NobleQuest,14435 Hamlin Street#108,Van Nuys,Los Angeles,CA,91401,(818) 997-7117 ,(888) 833-2881
Innovative Medical Management,7630 Painter Ave #B,,Whittier,CA,90602,(562) 696-1441,
MedNation,1905 E. 17th Street,Suite 309 Santa Ana,Orange,CA,92705,(818) 697-6190,(888) 391-7488
First Line Health,3231 Waring Ct,Suite N,Oceanside,CA,92056,(310) 954-9938,
First Line Health,10800 Paramount Blvd.,Suite 201,Downey,CA,90241,(310) 954-9938,
Advance Care,2935 Oswell St,,Bakersfield,CA,93306,(800) 850-2693,(866) 273-1775
Advance Care,2001 N. Solar Drive #165,,Oxnard,CA,93036,(805) 485-0500,(805) 485-0057
Bakersfield Medical Group,2935 Oswell Street,,Bakersfield,CA,93306,(661) 455-0100,(661) 249-6241
First Line Health,12901 Harbor Blvd.,Suite A6,Garden Grove,CA,90840,(310) 954-9938,
RB Spine Center (Rancho Bernardo),10801 Thornmint Rd #250,,San Diego,CA,92127,(858) 345-4114,
RB Spine Center (Mission Valley),2878 Camino Del Rio S. #404,,San Diego,CA,92108,(858) 345-4114,
RB Spine Center,601 E. San Ysidro #180,San Ysidro,San Diego,CA,92173,(858) 345-4114,
RB Spine Center,163 South Avenue 24,# 203-204,Los Angeles,CA,91401,(858) 345-4114,